Price,Close,High,Low,Open,Volume,MA120,MA360,RSI,MA_Signal,Position,MA120_prev,MA360_prev,Filtered_Signal,Equity
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2021-04-22,51762.2734375,55410.23046875,50583.8125,53857.10546875,74798630778,46528.39791666667,23596.596229383682,33.26765731862562,0,0,46290.72351888021,23474.466583930123,0,100000.0
2021-04-23,51093.65234375,52120.79296875,47714.6640625,51739.80859375,86668667320,46756.37877604167,23716.836767578126,32.29639577715777,0,0,46528.39791666667,23596.596229383682,0,100000.0
2021-04-24,50050.8671875,51167.5625,48805.28515625,51143.2265625,49014494781,46967.92941080729,23831.419626193576,25.26313429946171,0,0,46756.37877604167,23716.836767578126,0,100000.0
2021-04-25,49004.25390625,50506.01953125,47159.484375,50052.83203125,46117114240,47155.98955078125,23943.491015625,22.44852779243621,0,0,46967.92941080729,23831.419626193576,0,100000.0
2021-04-26,54021.75390625,54288.00390625,48852.796875,49077.79296875,58284039825,47387.235042317705,24068.927091471352,38.27202202104577,0,0,47155.98955078125,23943.491015625,0,100000.0
2021-04-27,55033.1171875,55416.96484375,53319.1875,54030.3046875,49448222757,47620.13761393229,24196.82853732639,31.12184000349633,0,0,47387.235042317705,24068.927091471352,0,100000.0
2021-04-28,54824.703125,56227.20703125,53887.91796875,55036.63671875,48000572955,47848.98982747396,24324.404188368055,31.381105160827943,0,0,47620.13761393229,24196.82853732639,0,100000.0
2021-04-29,53555.109375,55115.84375,52418.02734375,54858.08984375,46088929780,48054.94112955729,24448.411008029514,29.0708687802896,0,0,47848.98982747396,24324.404188368055,0,100000.0
2021-04-30,57750.17578125,57900.71875,53129.6015625,53568.6640625,52395931985,48294.51158854167,24583.819634331598,42.58263601799045,0,0,48054.94112955729,24448.411008029514,0,100000.0
2021-05-01,57828.05078125,58448.33984375,57052.2734375,57714.6640625,42836427360,48531.62740885417,24718.706548394097,44.27859956747325,0,0,48294.51158854167,24583.819634331598,0,100000.0
2021-05-02,56631.078125,57902.59375,56141.90625,57825.86328125,38177405335,48735.82583007812,24848.371991644966,50.956584485522306,0,0,48531.62740885417,24718.706548394097,0,100000.0
2021-05-03,57200.29296875,58973.30859375,56590.87109375,56620.2734375,51713139031,48939.31140950521,24979.920955403646,53.391054815545,0,0,48735.82583007812,24848.371991644966,0,100000.0
2021-05-04,53333.5390625,57214.1796875,53191.42578125,57214.1796875,68564706967,49117.324951171875,25101.419962565105,43.69111941713796,0,0,48939.31140950521,24979.920955403646,0,100000.0
2021-05-05,57424.0078125,57911.36328125,52969.0546875,53252.1640625,69241316747,49312.58810221354,25236.60767686632,56.661447003156205,0,0,49117.324951171875,25101.419962565105,0,100000.0
2021-05-06,56396.515625,58363.31640625,55382.5078125,57441.30859375,69523285106,49475.68937174479,25369.370787217882,59.162661362921604,0,0,49312.58810221354,25236.60767686632,0,100000.0
2021-05-07,57356.40234375,58606.6328125,55321.84765625,56413.953125,68434023376,49625.56736653646,25504.23724500868,62.241497263487105,0,0,49475.68937174479,25369.370787217882,0,100000.0
2021-05-08,58803.77734375,59464.61328125,56975.2109375,57352.765625,65382980634,49775.61876627604,25641.8311062283,66.84250205387659,0,0,49625.56736653646,25504.23724500868,0,100000.0
2021-05-09,58232.31640625,59210.8828125,56482.00390625,58877.390625,65906690347,49925.43351236979,25776.549424913195,68.08754603075823,0,0,49775.61876627604,25641.8311062283,0,100000.0
2021-05-10,55859.796875,59519.35546875,54071.45703125,58250.87109375,71776546298,50071.29480794271,25905.80386827257,54.01943279527227,0,0,49925.43351236979,25776.549424913195,0,100000.0
2021-05-11,56704.57421875,56872.54296875,54608.65234375,55847.2421875,61308396325,50247.44412434896,26037.26931423611,53.68196872813822,0,0,50071.29480794271,25905.80386827257,0,100000.0
2021-05-12,49150.53515625,57939.36328125,49150.53515625,56714.53125,75215403907,50374.340576171875,26146.935413953994,40.55674487575631,0,0,50247.44412434896,26037.26931423611,0,100000.0
2021-05-13,49716.19140625,51330.84375,46980.01953125,49735.43359375,96721152926,50477.67250976562,26258.0176812066,43.45777824761178,0,0,50374.340576171875,26146.935413953994,0,100000.0
2021-05-14,49880.53515625,51438.1171875,48868.578125,49682.98046875,55737497453,50566.78256835938,26369.54961751302,34.452780356168844,0,0,50477.67250976562,26258.0176812066,0,100000.0
2021-05-15,46760.1875,50639.6640625,46664.140625,49855.49609375,59161047474,50649.57273763021,26472.986300998266,30.48085991401136,0,0,50566.78256835938,26369.54961751302,0,100000.0
